id,timestamp,station_id,station_name,available_bikes,standard_bikes,ebikes,empty_docks,total_docks,latitude,longitude
638847,2026-03-20 09:18:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638848,2026-03-20 09:19:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",8,7,1,10,20,51.499917,-0.174554
638849,2026-03-20 09:19:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638850,2026-03-20 09:19:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638851,2026-03-20 09:19:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638852,2026-03-20 09:19:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638853,2026-03-20 09:19:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638854,2026-03-20 09:19:00+00,BikePoints_266,"Queen's Gate (North), Kensington",6,5,1,31,41,51.501026,-0.180246
638855,2026-03-20 09:19:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",19,18,1,9,28,51.497056,-0.168917
638856,2026-03-20 09:19:00+00,BikePoints_378,"Natural History Museum, South Kensington",7,7,0,32,42,51.495592,-0.179077
638857,2026-03-20 09:19:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",3,2,1,9,21,51.501715,-0.179854
638858,2026-03-20 09:19:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638859,2026-03-20 09:19:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",1,1,0,22,31,51.493967,-0.178732
638860,2026-03-20 09:19:00+00,BikePoints_97,"Gloucester Road (North), Kensington",5,5,0,10,18,51.497924,-0.183834
638861,2026-03-20 09:19:00+00,BikePoints_113,"Gloucester Road (Central), South Kensington",3,2,1,12,19,51.496462,-0.183289
638862,2026-03-20 09:19:00+00,BikePoints_292,"Montpelier Street, Knightsbridge",14,12,2,2,16,51.498884,-0.165471
638863,2026-03-20 09:19:00+00,BikePoints_300,"Serpentine Car Park, Hyde Park",8,4,4,6,18,51.505014,-0.17306
638864,2026-03-20 09:19:00+00,BikePoints_405,"Gloucester Road Station, South Kensington",0,0,0,12,15,51.494185,-0.18267
638865,2026-03-20 09:19:00+00,BikePoints_187,"Queen's Gate (South), South Kensington",3,3,0,18,25,51.492479,-0.178433
638866,2026-03-20 09:19:00+00,BikePoints_404,"Palace Gate, Kensington Gardens",8,6,2,1,13,51.502042,-0.1844
638867,2026-03-20 09:19:00+00,BikePoints_36,"De Vere Gardens, Kensington",3,3,0,23,28,51.501737,-0.18498
638868,2026-03-20 09:19:00+00,BikePoints_163,"Sloane Avenue, Knightsbridge",7,7,0,14,27,51.493184,-0.167894
638869,2026-03-20 09:20:00+00,BikePoints_428,"Exhibition Road, Knightsbridge",6,5,1,12,20,51.499917,-0.174554
638870,2026-03-20 09:20:00+00,BikePoints_432,"Exhibition Road Museums 1, South Kensington",9,5,4,3,13,51.496468,-0.173796
638871,2026-03-20 09:20:00+00,BikePoints_482,"Exhibition Road Museums 2, South Kensington",9,8,1,4,14,51.495947,-0.173689
638872,2026-03-20 09:20:00+00,BikePoints_392,"Imperial College, Knightsbridge",32,26,6,0,33,51.499428,-0.179702
638873,2026-03-20 09:20:00+00,BikePoints_878,"Victoria & Albert Museum, South Kensington",0,0,0,27,30,51.495898,-0.173009
638874,2026-03-20 09:20:00+00,BikePoints_258,"Kensington Gore, Knightsbridge",0,0,0,21,23,51.501432,-0.178656
638875,2026-03-20 09:20:00+00,BikePoints_266,"Queen's Gate (North), Kensington",7,6,1,30,41,51.501026,-0.180246
638876,2026-03-20 09:20:00+00,BikePoints_150,"Holy Trinity Brompton, Knightsbridge",18,17,1,10,28,51.497056,-0.168917
638877,2026-03-20 09:20:00+00,BikePoints_378,"Natural History Museum, South Kensington",8,8,0,31,42,51.495592,-0.179077
638878,2026-03-20 09:20:00+00,BikePoints_350,"Queen's Gate, Kensington Gardens",4,3,1,8,21,51.501715,-0.179854
638879,2026-03-20 09:20:00+00,BikePoints_356,"South Kensington Station, South Kensington",8,7,1,3,15,51.494412,-0.173881
638880,2026-03-20 09:20:00+00,BikePoints_231,"Queen's Gate (Central), South Kensington",3,3,0,20,31,51.493967,-0.178732
