id,timestamp,event_type,confidence
1,2026-02-25 18:37:17+00,departure,1
2,2026-02-25 18:38:02+00,departure,1
3,2026-02-25 18:40:09+00,departure,1
4,2026-02-25 18:40:22+00,departure,1
5,2026-02-25 18:41:55+00,departure,1
6,2026-02-25 18:42:11+00,departure,1
7,2026-02-25 18:42:50+00,departure,1
8,2026-02-25 18:43:02+00,departure,1
9,2026-02-25 18:43:15+00,departure,1
10,2026-02-25 18:43:50+00,departure,1
11,2026-02-25 18:49:40+00,departure,1
12,2026-02-25 18:50:50+00,departure,1
13,2026-02-25 18:51:03+00,departure,1
14,2026-02-25 18:52:22+00,departure,1
15,2026-02-25 18:54:09+00,departure,1
16,2026-02-25 18:54:38+00,departure,1
17,2026-02-25 19:16:44+00,departure,1
18,2026-02-25 19:17:12+00,departure,1
19,2026-02-25 19:19:57+00,departure,1
20,2026-02-25 19:28:36+00,departure,1
21,2026-03-24 20:49:06.993158+00,departure,1
22,2026-02-25 08:22:00+00,departure,1
23,2026-02-25 07:48:00+00,departure,1
24,2026-02-26 14:42:00+00,departure,1
25,2026-02-27 08:15:00+00,departure,1
26,2026-02-27 07:54:00+00,departure,1
27,2026-02-28 17:09:00+00,departure,1
28,2026-02-28 07:30:00+00,departure,1
29,2026-03-01 09:42:00+00,departure,1
30,2026-03-02 07:45:00+00,departure,1
31,2026-03-02 07:12:00+00,departure,1
32,2026-03-02 09:51:00+00,departure,1
33,2026-03-03 07:38:00+00,departure,1
34,2026-03-03 08:53:00+00,departure,1
35,2026-03-04 09:38:00+00,departure,1
36,2026-03-04 08:23:00+00,departure,1
37,2026-03-05 07:42:00+00,departure,1
38,2026-03-05 14:00:00+00,departure,1
39,2026-03-06 07:28:00+00,departure,1
40,2026-03-06 07:05:00+00,departure,1
41,2026-03-07 08:48:00+00,departure,1
42,2026-03-07 08:46:00+00,departure,1
43,2026-03-07 15:28:00+00,departure,1
44,2026-03-08 16:06:00+00,departure,1
45,2026-03-08 07:26:00+00,departure,1
46,2026-03-09 08:31:00+00,departure,1
47,2026-03-10 08:25:00+00,departure,1
48,2026-03-10 08:14:00+00,departure,1
49,2026-03-11 09:38:00+00,departure,1
50,2026-03-11 09:44:00+00,departure,1
51,2026-03-12 15:56:00+00,departure,1
52,2026-03-12 08:23:00+00,departure,1
53,2026-03-13 09:21:00+00,departure,1
54,2026-03-13 18:55:00+00,departure,1
55,2026-03-13 17:50:00+00,departure,1
56,2026-03-13 07:38:00+00,departure,1
57,2026-03-13 08:40:00+00,departure,1
58,2026-03-13 08:59:00+00,departure,1
59,2026-03-14 09:37:00+00,departure,1
60,2026-03-14 08:33:00+00,departure,1
61,2026-03-15 15:40:00+00,departure,1
62,2026-03-15 08:49:00+00,departure,1
63,2026-03-16 09:05:00+00,departure,1
64,2026-03-17 07:19:00+00,departure,1
65,2026-03-17 07:34:00+00,departure,1
66,2026-03-18 14:31:00+00,departure,1
67,2026-03-18 08:43:00+00,departure,1
68,2026-03-19 07:26:00+00,departure,1
69,2026-03-20 09:55:00+00,departure,1
70,2026-03-20 15:47:00+00,departure,1
71,2026-03-21 08:33:00+00,departure,1
72,2026-03-22 09:15:00+00,departure,1
73,2026-03-22 17:21:00+00,departure,1
74,2026-03-22 08:10:00+00,departure,1
75,2026-03-23 07:30:00+00,departure,1
