id,temperature_c,created_at
57139,15.55,2026-02-25 17:08:39.397316+00
57140,15.49,2026-02-25 17:12:22.700924+00
57141,16.79,2026-02-25 17:19:39.693429+00
57142,16.08,2026-02-25 17:20:18.070994+00
57143,16.2,2026-02-25 17:21:22.798766+00
57144,16.13,2026-02-25 17:22:32.529854+00
57145,16.38,2026-02-25 17:24:12.64136+00
57146,15.91,2026-02-25 17:25:34.917764+00
57147,15.07,2026-02-25 17:26:41.56159+00
57148,16.87,2026-02-25 17:27:21.062502+00
57149,15.71,2026-02-25 17:28:09.115847+00
57150,14.96,2026-02-25 17:29:27.160764+00
57151,14.97,2026-02-25 17:30:19.537225+00
57152,16,2026-02-25 17:31:24.582024+00
57153,14.69,2026-02-25 17:32:38.50619+00
57154,16.54,2026-02-25 17:33:20.132439+00
57155,15.56,2026-02-25 17:34:06.777804+00
57156,14.85,2026-02-25 17:35:12.002847+00
57157,16.01,2026-02-25 17:36:38.459464+00
57158,15.49,2026-02-25 17:37:07.854296+00
57159,16.09,2026-02-25 17:38:39.38717+00
57160,16.38,2026-02-25 17:40:06.65171+00
57161,15.69,2026-02-25 17:41:13.76092+00
57162,14.61,2026-02-25 17:42:11.663335+00
57163,16.37,2026-02-25 17:43:04.371836+00
57164,15.96,2026-02-25 17:44:30.72222+00
57165,14.59,2026-02-25 17:45:22.755277+00
57166,16.1,2026-02-25 17:46:15.292795+00
57167,14.6,2026-02-25 17:47:11.766042+00
57168,14.82,2026-02-25 17:48:03.075021+00
57169,14.86,2026-02-25 17:49:27.695927+00
57170,15.77,2026-02-25 17:50:07.851011+00
57171,14.49,2026-02-25 17:51:47.557019+00
57172,15.9,2026-02-25 17:53:49.735227+00
57173,15.45,2026-02-25 17:54:40.399886+00
57174,15.92,2026-02-25 17:55:08.364869+00
57175,14.99,2026-02-25 17:56:29.402172+00
57176,15.99,2026-02-25 17:57:20.81636+00
57177,15.8,2026-02-25 17:58:35.472105+00
57178,14.36,2026-02-25 17:59:42.695155+00
57179,15.08,2026-02-25 18:00:09.191305+00
57180,15.61,2026-02-25 18:01:25.672719+00
57181,14.68,2026-02-25 18:02:32.723228+00
57182,14.28,2026-02-25 18:03:47.272307+00
57183,14.4,2026-02-25 18:04:30.377752+00
57184,15.64,2026-02-25 18:05:45.762996+00
57185,15.78,2026-02-25 18:06:42.958898+00
57186,14.99,2026-02-25 18:08:31.359813+00
57187,15.48,2026-02-25 18:09:07.523538+00
57188,14.46,2026-02-25 18:10:19.751866+00
57189,14.8,2026-02-25 18:11:31.655529+00
57190,15.13,2026-02-25 18:12:18.972374+00
57191,15.03,2026-02-25 18:13:47.942407+00
57192,14.7,2026-02-25 18:14:03.40356+00
57193,15.6,2026-02-25 18:15:43.655988+00
57194,14.05,2026-02-25 18:16:47.316926+00
57195,14.82,2026-02-25 18:17:45.554097+00
57196,14.8,2026-02-25 18:18:24.922192+00
57197,15.35,2026-02-25 18:19:38.145281+00
57198,13.98,2026-02-25 18:20:11.275958+00
57199,13.68,2026-02-25 18:21:37.007036+00
57200,13.63,2026-02-25 18:22:23.537187+00
57201,13.95,2026-02-25 18:24:41.406256+00
57202,14.69,2026-02-25 18:25:40.550469+00
57203,14.52,2026-02-25 18:26:04.234607+00
57204,13.65,2026-02-25 18:27:43.820557+00
57205,15.09,2026-02-25 18:28:25.504553+00
57206,13.92,2026-02-25 18:29:02.158202+00
57207,13.46,2026-02-25 18:30:31.878027+00
57208,13.78,2026-02-25 18:31:14.70553+00
57209,13.65,2026-02-25 18:32:28.361748+00
57210,14.42,2026-02-25 18:34:46.783937+00
57211,14.5,2026-02-25 18:35:07.757714+00
57212,14.95,2026-02-25 18:36:00.208076+00
57213,14.32,2026-02-25 18:37:36.664507+00
57214,14.27,2026-02-25 18:38:39.65042+00
57215,14.93,2026-02-25 18:39:12.768855+00
57216,14.13,2026-02-25 18:40:37.51553+00
57217,13.6,2026-02-25 18:41:33.559123+00
57218,14.51,2026-02-25 18:42:08.755453+00
57219,14.42,2026-02-25 18:43:11.105952+00
57220,14.74,2026-02-25 18:44:49.586207+00
57221,14.35,2026-02-25 18:45:01.710933+00
57222,14.25,2026-02-25 18:46:15.520789+00
