id,timestamp,temperature,humidity,precipitation,wind_speed,weather_code,description
1,2026-02-25 17:08:00+00,16.2,61,0,10.5,0,clear sky
2,2026-02-25 17:12:00+00,16.2,61,0,10.5,0,clear sky
3,2026-02-25 17:19:00+00,15.9,63,0,10.2,0,clear sky
4,2026-02-25 17:20:00+00,15.9,63,0,10.2,0,clear sky
5,2026-02-25 17:21:00+00,15.9,63,0,10.2,0,clear sky
6,2026-02-25 17:22:00+00,15.9,63,0,10.2,0,clear sky
7,2026-02-25 17:24:00+00,15.9,63,0,10.2,0,clear sky
8,2026-02-25 17:25:00+00,15.9,63,0,10.2,0,clear sky
9,2026-02-25 17:26:00+00,15.9,63,0,10.2,0,clear sky
10,2026-02-25 17:27:00+00,15.9,63,0,10.2,0,clear sky
11,2026-02-25 17:28:00+00,15.9,63,0,10.2,0,clear sky
12,2026-02-25 17:29:00+00,15.9,63,0,10.2,0,clear sky
13,2026-02-25 17:30:00+00,15.6,64,0,9.7,0,clear sky
14,2026-02-25 17:31:00+00,15.6,64,0,9.7,0,clear sky
15,2026-02-25 17:32:00+00,15.6,64,0,9.7,0,clear sky
16,2026-02-25 17:33:00+00,15.6,64,0,9.7,0,clear sky
17,2026-02-25 17:34:00+00,15.6,64,0,9.7,0,clear sky
18,2026-02-25 17:35:00+00,15.6,64,0,9.7,0,clear sky
19,2026-02-25 17:36:00+00,15.6,64,0,9.7,0,clear sky
20,2026-02-25 17:37:00+00,15.6,64,0,9.7,0,clear sky
21,2026-02-25 17:38:00+00,15.6,64,0,9.7,0,clear sky
22,2026-02-25 17:40:00+00,15.6,64,0,9.7,0,clear sky
23,2026-02-25 17:41:00+00,15.6,64,0,9.7,0,clear sky
24,2026-02-25 17:42:00+00,15.6,64,0,9.7,0,clear sky
25,2026-02-25 17:43:00+00,15.6,64,0,9.7,0,clear sky
26,2026-02-25 17:44:00+00,15.6,64,0,9.7,0,clear sky
27,2026-02-25 17:45:00+00,15.2,66,0,9.5,0,clear sky
28,2026-02-25 17:46:00+00,15.2,66,0,9.5,0,clear sky
29,2026-02-25 17:47:00+00,15.2,66,0,9.5,0,clear sky
30,2026-02-25 17:48:00+00,15.2,66,0,9.5,0,clear sky
31,2026-02-25 17:49:00+00,15.2,66,0,9.5,0,clear sky
32,2026-02-25 17:50:00+00,15.2,66,0,9.5,0,clear sky
33,2026-02-25 17:51:00+00,15.2,66,0,9.5,0,clear sky
34,2026-02-25 17:53:00+00,15.2,66,0,9.5,0,clear sky
35,2026-02-25 17:54:00+00,15.2,66,0,9.5,0,clear sky
36,2026-02-25 17:55:00+00,15.2,66,0,9.5,0,clear sky
37,2026-02-25 17:56:00+00,15.2,66,0,9.5,0,clear sky
38,2026-02-25 17:57:00+00,15.2,66,0,9.5,0,clear sky
39,2026-02-25 17:58:00+00,15.2,66,0,9.5,0,clear sky
40,2026-02-25 17:59:00+00,15.2,66,0,9.5,0,clear sky
41,2026-02-25 18:00:00+00,15,67,0,9.2,2,partly cloudy
42,2026-02-25 18:01:00+00,15,67,0,9.2,2,partly cloudy
43,2026-02-25 18:02:00+00,15,67,0,9.2,2,partly cloudy
44,2026-02-25 18:03:00+00,15,67,0,9.2,2,partly cloudy
45,2026-02-25 18:04:00+00,15,67,0,9.2,2,partly cloudy
46,2026-02-25 18:05:00+00,15,67,0,9.2,2,partly cloudy
47,2026-02-25 18:06:00+00,15,67,0,9.2,2,partly cloudy
48,2026-02-25 18:08:00+00,15,67,0,9.2,2,partly cloudy
49,2026-02-25 18:09:00+00,15,67,0,9.2,2,partly cloudy
50,2026-02-25 18:10:00+00,15,67,0,9.2,2,partly cloudy
51,2026-02-25 18:11:00+00,15,67,0,9.2,2,partly cloudy
52,2026-02-25 18:12:00+00,15,67,0,9.2,2,partly cloudy
53,2026-02-25 18:13:00+00,15,67,0,9.2,2,partly cloudy
54,2026-02-25 18:14:00+00,15,67,0,9.2,2,partly cloudy
55,2026-02-25 18:15:00+00,14.6,69,0,8.7,2,partly cloudy
56,2026-02-25 18:16:00+00,14.6,69,0,8.7,2,partly cloudy
57,2026-02-25 18:17:00+00,14.6,69,0,8.7,2,partly cloudy
58,2026-02-25 18:18:00+00,14.6,69,0,8.7,2,partly cloudy
59,2026-02-25 18:19:00+00,14.6,69,0,8.7,2,partly cloudy
60,2026-02-25 18:20:00+00,14.6,69,0,8.7,2,partly cloudy
61,2026-02-25 18:21:00+00,14.6,69,0,8.7,2,partly cloudy
62,2026-02-25 18:22:00+00,14.6,69,0,8.7,2,partly cloudy
63,2026-02-25 18:24:00+00,14.6,69,0,8.7,2,partly cloudy
64,2026-02-25 18:25:00+00,14.6,69,0,8.7,2,partly cloudy
65,2026-02-25 18:26:00+00,14.6,69,0,8.7,2,partly cloudy
